,result
433,
434,
435,额B-COMMENTS_N 度I-COMMENTS_N 再B-COMMENTS_ADJ
436,
437,砖B-BANK 千I-COMMENTS_ADJ 别B-COMMENTS_N 网I-COMMENTS_N
438,菜B-PRODUCT 卡I-PRODUCT 浦B-BANK 发I-COMMENTS_N
439,
440,息I-COMMENTS_N
441,激B-COMMENTS_ADJ 活I-COMMENTS_N
442,利I-COMMENTS_N 不B-COMMENTS_ADJ
443,
444,
445,就I-PRODUCT 批I-PRODUCT
446,下B-COMMENTS_ADJ 生B-PRODUCT 活I-PRODUCT 卡I-PRODUCT
447,利B-COMMENTS_ADJ
448,提B-COMMENTS_N 成I-COMMENTS_N 扇B-COMMENTS_ADJ 他I-COMMENTS_ADJ 交B-BANK 通I-BANK 银B-COMMENTS_ADJ 成B-COMMENTS_ADJ 高I-COMMENTS_ADJ
449,多I-COMMENTS_ADJ 款I-PRODUCT
450,
451,不B-COMMENTS_ADJ 多I-COMMENTS_ADJ
452,理B-BANK 由I-PRODUCT
453,
454,降B-COMMENTS_ADJ 到I-COMMENTS_ADJ
455,提B-COMMENTS_N
456,信I-PRODUCT
457,信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT
458,工B-BANK 行I-BANK
459,新B-COMMENTS_N 客I-COMMENTS_N 户I-COMMENTS_N
460,快B-PRODUCT
461,额B-COMMENTS_N 度I-COMMENTS_N 保I-BANK 底B-COMMENTS_N
462,分B-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N 多B-COMMENTS_ADJ
463,
464,访I-PRODUCT
465,白I-PRODUCT 申I-PRODUCT 卡I-PRODUCT 审I-BANK 查B-PRODUCT
466,心B-COMMENTS_ADJ 急I-COMMENTS_ADJ
467,被B-COMMENTS_N 拒I-COMMENTS_N
468,金I-PRODUCT 卡I-PRODUCT
469,
470,
471,
472,
473,能I-COMMENTS_N 需B-PRODUCT 宝B-BANK 小I-BANK
474,鼎B-COMMENTS_ADJ 致I-COMMENTS_ADJ 干I-PRODUCT
475,好B-COMMENTS_N 累I-COMMENTS_ADJ
476,审B-COMMENTS_N 核I-COMMENTS_N
477,新B-COMMENTS_N 客I-COMMENTS_N
478,费I-COMMENTS_N 联B-PRODUCT 金I-COMMENTS_N 卡I-COMMENTS_N 中B-BANK 信I-BANK 银I-BANK 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT
479,
480,
481,
482,也I-BANK
483,
484,今B-PRODUCT 早I-PRODUCT aB-PRODUCT pB-PRODUCT pI-PRODUCT .I-COMMENTS_ADJ
485,审B-BANK 资I-PRODUCT
486,
487,销B-PRODUCT 卡I-PRODUCT
488,入B-PRODUCT 填I-PRODUCT 职B-COMMENTS_ADJ 级I-COMMENTS_ADJ 办I-PRODUCT
489,分B-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
490,
491,激B-COMMENTS_N 活I-COMMENTS_N 只B-COMMENTS_ADJ 有I-COMMENTS_ADJ
492,逾B-PRODUCT 期I-PRODUCT 不B-COMMENTS_ADJ 敢I-COMMENTS_ADJ
493,多I-COMMENTS_ADJ
494,几I-COMMENTS_ADJ 付I-BANK 付B-BANK 用I-PRODUCT
495,信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 什I-PRODUCT
496,
497,
498,
499,中B-BANK 行I-BANK 安B-COMMENTS_N
500,多B-COMMENTS_ADJ 少I-COMMENTS_ADJ 额B-COMMENTS_N 度I-COMMENTS_N 给B-COMMENTS_ADJ 批I-COMMENTS_ADJ
501,好B-COMMENTS_N 卡I-COMMENTS_N 招B-BANK 行I-BANK
502,礼B-COMMENTS_ADJ 拜I-COMMENTS_N
503,额B-COMMENTS_N 度I-COMMENTS_N
504,
505,
506,害I-COMMENTS_N
507,理B-BANK 财I-BANK
508,个B-COMMENTS_N 卡I-PRODUCT 建B-BANK 行I-BANK 多B-PRODUCT 卡I-PRODUCT
509,诉I-COMMENTS_N
510,便B-PRODUCT 批I-COMMENTS_N 卡I-PRODUCT
511,
512,
513,况B-PRODUCT 估I-PRODUCT
514,储I-BANK 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT pI-COMMENTS_N
515,分B-PRODUCT
516,就B-COMMENTS_ADJ
517,积B-PRODUCT 分I-PRODUCT 通B-PRODUCT 积B-PRODUCT 分I-PRODUCT 明B-COMMENTS_N 金B-PRODUCT 分I-PRODUCT 期I-PRODUCT 手B-COMMENTS_N 续B-COMMENTS_N 费I-COMMENTS_N 倍I-PRODUCT 积B-PRODUCT 分I-PRODUCT
518,广B-COMMENTS_ADJ 中B-BANK 信I-PRODUCT 浦B-BANK
519,
520,
521,征B-PRODUCT 信I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
522,银B-BANK 行I-BANK
523,审B-COMMENTS_ADJ
524,多B-COMMENTS_ADJ 久I-COMMENTS_ADJ
525,首B-COMMENTS_N 卡I-COMMENTS_N
526,
527,止B-COMMENTS_N
528,着B-PRODUCT 家I-BANK 理B-COMMENTS_N 财I-PRODUCT 说B-PRODUCT 开I-PRODUCT 卡I-PRODUCT 理B-COMMENTS_ADJ 财I-PRODUCT
529,
530,多B-COMMENTS_ADJ 短B-PRODUCT 信I-PRODUCT
531,
532,二B-BANK 卡I-BANK
533,推B-COMMENTS_ADJ 工B-BANK 商I-BANK 银B-BANK 行I-BANK 不B-COMMENTS_ADJ 错I-COMMENTS_ADJ
534,
535,卡I-PRODUCT 申B-COMMENTS_N
536,低B-COMMENTS_ADJ
537,审B-BANK 核I-BANK 中I-COMMENTS_N …I-COMMENTS_ADJ
538,公B-PRODUCT 积I-PRODUCT 工B-BANK 资I-BANK 发B-BANK 展B-COMMENTS_N
539,银B-BANK 行I-BANK
540,卡I-PRODUCT
541,信B-PRODUCT 贷I-PRODUCT
542,销B-COMMENTS_N 卡I-PRODUCT 网I-COMMENTS_N
543,正B-COMMENTS_ADJ 粗I-COMMENTS_ADJ 心I-COMMENTS_ADJ
544,封B-COMMENTS_N 卡I-COMMENTS_N
545,
546,信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 好B-COMMENTS_ADJ 慢I-COMMENTS_ADJ 能B-COMMENTS_ADJ 急I-COMMENTS_ADJ
547,逾B-COMMENTS_N 期I-COMMENTS_N 分B-PRODUCT 期I-PRODUCT
548,
549,
550,贷B-PRODUCT 不B-COMMENTS_N 多B-COMMENTS_ADJ
551,提B-COMMENTS_N 额I-COMMENTS_N
552,于I-COMMENTS_ADJ 分B-COMMENTS_N 之I-COMMENTS_N
553,没B-COMMENTS_ADJ
554,白B-PRODUCT 金I-PRODUCT
555,单I-COMMENTS_N
556,利B-COMMENTS_ADJ 安B-PRODUCT 贷I-COMMENTS_N 款I-PRODUCT 不B-COMMENTS_ADJ
557,额B-COMMENTS_N 度I-COMMENTS_N
558,分B-COMMENTS_N 意I-COMMENTS_ADJ
559,销B-COMMENTS_ADJ 经B-PRODUCT 注B-COMMENTS_N 销I-COMMENTS_N
560,招B-BANK 行I-BANK 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 会I-PRODUCT
561,…B-PRODUCT 备B-PRODUCT 用I-PRODUCT
562,机B-COMMENTS_ADJ
563,决B-COMMENTS_N 于I-COMMENTS_N 决B-PRODUCT 于I-PRODUCT 大I-PRODUCT 家I-COMMENTS_N 公B-PRODUCT 断I-PRODUCT
564,5B-BANK 岁I-COMMENTS_N
565,网I-COMMENTS_ADJ
566,航B-PRODUCT 金B-PRODUCT 卡I-PRODUCT
567,诉B-PRODUCT ，B-PRODUCT 邮I-PRODUCT 储I-PRODUCT 销B-COMMENTS_N 卡I-COMMENTS_N 新B-COMMENTS_ADJ
568,谢B-COMMENTS_N 谢I-COMMENTS_N 业B-COMMENTS_ADJ 员I-COMMENTS_ADJ
569,三I-PRODUCT 期I-PRODUCT
570,
571,降B-COMMENTS_N 额I-COMMENTS_N
572,额B-COMMENTS_N 度I-COMMENTS_N 羡B-COMMENTS_ADJ 慕B-COMMENTS_ADJ
573,下I-BANK 公B-PRODUCT 积I-PRODUCT
574,
575,发I-COMMENTS_N 积B-PRODUCT
576,公B-PRODUCT 积I-PRODUCT 金I-PRODUCT 差B-COMMENTS_ADJ 不B-COMMENTS_ADJ 多I-COMMENTS_ADJ
577,额B-COMMENTS_N 度I-COMMENTS_N 很B-COMMENTS_ADJ 快I-COMMENTS_ADJ
578,
579,好I-COMMENTS_ADJ 金B-COMMENTS_N 卡I-COMMENTS_N
580,关B-COMMENTS_ADJ 系I-COMMENTS_ADJ
581,发B-BANK 信I-PRODUCT 啥B-COMMENTS_ADJ 正B-PRODUCT 常B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 识I-COMMENTS_N
582,不B-COMMENTS_ADJ 签B-COMMENTS_N
583,中B-BANK 行I-BANK
584,
585,招B-BANK 行I-BANK 意I-COMMENTS_ADJ
586,万B-PRODUCT 用I-PRODUCT 金I-PRODUCT 就I-PRODUCT
587,利B-COMMENTS_ADJ 错I-COMMENTS_ADJ
588,激B-COMMENTS_ADJ 活I-COMMENTS_ADJ
589,把I-COMMENTS_N
590,积B-COMMENTS_ADJ 分I-PRODUCT
591,
592,卡I-BANK 激B-COMMENTS_N 活I-COMMENTS_N
593,业B-COMMENTS_N 额B-COMMENTS_N 度I-COMMENTS_N 提B-COMMENTS_ADJ
594,额B-COMMENTS_N 度I-COMMENTS_N
595,航B-BANK pB-COMMENTS_N 卡I-PRODUCT
596,大B-COMMENTS_N 化I-PRODUCT 再I-COMMENTS_N
597,征B-PRODUCT 信I-PRODUCT 逾B-COMMENTS_N 期I-COMMENTS_N
598,行I-BANK 很I-COMMENTS_ADJ
599,卡B-PRODUCT 逾B-COMMENTS_N 期I-COMMENTS_N
600,中B-BANK 信I-BANK 民B-BANK 生I-BANK
601,码I-COMMENTS_ADJ 招B-BANK 行I-BANK 经B-PRODUCT 理I-PRODUCT
602,广B-BANK 发I-BANK
603,征B-PRODUCT 信I-PRODUCT 小B-PRODUCT 贷I-PRODUCT 逾B-COMMENTS_N 期I-COMMENTS_N
604,
605,贷I-COMMENTS_N 款I-COMMENTS_N
606,行I-PRODUCT 养I-BANK 高B-COMMENTS_ADJ
607,中B-BANK 国I-BANK 银I-BANK 行I-BANK
608,不B-COMMENTS_ADJ 同I-COMMENTS_ADJ 招B-BANK 行I-BANK 我I-COMMENTS_N 同B-COMMENTS_ADJ 意I-COMMENTS_ADJ
609,
610,简B-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
611,带B-COMMENTS_N 带I-PRODUCT 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT
612,
613,额B-COMMENTS_N 度I-COMMENTS_N
614,
615,期I-PRODUCT 宝I-PRODUCT 基I-PRODUCT 金I-PRODUCT 期I-COMMENTS_N
616,额B-COMMENTS_N 度I-COMMENTS_N 高B-COMMENTS_ADJ
617,车B-PRODUCT 卡I-PRODUCT
618,没B-PRODUCT 积B-PRODUCT 分I-PRODUCT
619,需B-COMMENTS_ADJ 谨I-COMMENTS_ADJ 。I-COMMENTS_ADJ
620,大B-PRODUCT
621,不B-COMMENTS_ADJ 爽I-COMMENTS_ADJ
622,把B-COMMENTS_N 卡I-PRODUCT 添B-PRODUCT 闪I-PRODUCT 孝B-PRODUCT
623,多B-COMMENTS_ADJ 久I-COMMENTS_ADJ
624,
625,她I-COMMENTS_ADJ 死B-COMMENTS_ADJ
626,
627,额B-COMMENTS_N 度I-COMMENTS_N 更B-COMMENTS_ADJ 主B-PRODUCT 卡B-PRODUCT 只I-PRODUCT
628,
629,额B-COMMENTS_N 度I-COMMENTS_N
630,下B-COMMENTS_ADJ 卡I-COMMENTS_ADJ 无B-COMMENTS_ADJ 业I-PRODUCT
631,?B-PRODUCT ?I-COMMENTS_N 额B-COMMENTS_N 度I-COMMENTS_N
632,尊B-COMMENTS_ADJ 驴B-PRODUCT 户I-COMMENTS_N
633,
634,额B-COMMENTS_N 度I-COMMENTS_N 激B-COMMENTS_N 活I-COMMENTS_N
635,分B-PRODUCT 主B-COMMENTS_N 和I-COMMENTS_N 金I-PRODUCT 卡I-PRODUCT
636,
637,征B-PRODUCT 信I-PRODUCT
638,多B-COMMENTS_ADJ 能B-COMMENTS_ADJ 会B-COMMENTS_N 放I-COMMENTS_N
639,下B-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N 还B-COMMENTS_ADJ 行I-COMMENTS_ADJ
640,
641,
642,光I-COMMENTS_N 广B-COMMENTS_ADJ 平B-BANK
643,广B-BANK 发I-BANK 白B-PRODUCT 金I-PRODUCT 免B-COMMENTS_N
644,情I-PRODUCT 不B-COMMENTS_ADJ 多I-COMMENTS_ADJ 给B-COMMENTS_ADJ 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ 额B-COMMENTS_N 度I-COMMENTS_N
645,
646,提B-COMMENTS_N 额B-COMMENTS_N 度I-COMMENTS_N
647,公B-PRODUCT 积I-PRODUCT 金I-PRODUCT
648,核B-COMMENTS_ADJ
649,小B-BANK 米I-PRODUCT 了B-COMMENTS_N 下I-COMMENTS_N 销B-COMMENTS_N 卡I-COMMENTS_N 不B-COMMENTS_ADJ
650,
651,
652,广B-BANK 发I-BANK 储B-PRODUCT 蓄I-PRODUCT 卡I-PRODUCT
653,意B-COMMENTS_ADJ 乱I-COMMENTS_ADJ
654,农I-BANK
655,
656,新B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 要I-PRODUCT 很B-COMMENTS_ADJ 久I-COMMENTS_ADJ
657,
658,久I-COMMENTS_ADJ 水I-COMMENTS_N
659,我I-COMMENTS_N 征B-PRODUCT 信I-PRODUCT 看I-COMMENTS_N 九B-PRODUCT 江I-COMMENTS_ADJ 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT
660,基B-COMMENTS_N 金I-COMMENTS_N 呀I-PRODUCT
661,卡B-PRODUCT 好I-PRODUCT
662,兴B-BANK 业I-BANK 慢I-COMMENTS_ADJ
663,1B-COMMENTS_N
664,提B-COMMENTS_N 卡I-PRODUCT
665,心B-COMMENTS_ADJ 累I-COMMENTS_ADJ
666,借B-COMMENTS_N 金I-COMMENTS_N 账B-COMMENTS_N
667,活I-COMMENTS_N
668,严B-COMMENTS_ADJ 格I-COMMENTS_N 信I-PRODUCT
669,
670,
671,
672,结B-COMMENTS_ADJ 冻B-COMMENTS_N 结I-COMMENTS_ADJ
673,封B-COMMENTS_N 卡I-COMMENTS_N 心I-COMMENTS_ADJ 慌I-COMMENTS_ADJ 谢B-COMMENTS_ADJ 谢I-COMMENTS_ADJ
674,
675,分B-PRODUCT 期I-PRODUCT
676,年B-COMMENTS_N 费I-COMMENTS_N
677,1B-COMMENTS_ADJ %I-COMMENTS_ADJ
678,审B-PRODUCT 批I-BANK
679,额I-PRODUCT 与I-PRODUCT 般I-PRODUCT 卡I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
680,额B-COMMENTS_N 兑I-COMMENTS_N
681,
682,会I-COMMENTS_ADJ 储B-PRODUCT 银I-PRODUCT 点B-PRODUCT 贷B-PRODUCT 款I-PRODUCT 期B-PRODUCT
683,光B-BANK 大I-BANK 申B-PRODUCT
684,准I-PRODUCT 金I-PRODUCT
685,全I-COMMENTS_N
686,银I-PRODUCT 痒I-COMMENTS_N
687,
688,深B-PRODUCT 圳I-PRODUCT 最B-COMMENTS_ADJ 低I-COMMENTS_ADJ .B-COMMENTS_ADJ
689,招B-BANK 行I-BANK
690,
691,额B-COMMENTS_N 度I-COMMENTS_N 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ
692,
693,
694,国B-BANK 留B-COMMENTS_N 情I-COMMENTS_ADJ
695,分B-PRODUCT 期I-PRODUCT
696,收B-PRODUCT
697,激B-COMMENTS_N 活I-COMMENTS_N
698,前I-COMMENTS_N 就B-COMMENTS_ADJ 交B-BANK 通I-PRODUCT
699,国B-BANK 邮I-BANK 政I-PRODUCT 储I-PRODUCT 就B-COMMENTS_ADJ 过I-COMMENTS_ADJ
700,农B-BANK 行I-BANK
701,给B-BANK 邮B-COMMENTS_N 费I-COMMENTS_N 简B-PRODUCT 单I-PRODUCT
702,
703,分B-PRODUCT 逾B-COMMENTS_N 期I-COMMENTS_N 分B-PRODUCT 期I-PRODUCT 还B-PRODUCT 款I-COMMENTS_N
704,般B-BANK 情I-BANK 招B-BANK 行I-BANK 效B-COMMENTS_N 率I-PRODUCT 很B-COMMENTS_ADJ 高I-COMMENTS_ADJ
705,短B-BANK 期I-BANK 招B-BANK 行I-BANK 基B-PRODUCT 金B-COMMENTS_ADJ 不B-COMMENTS_ADJ 错I-COMMENTS_ADJ
706,心I-COMMENTS_ADJ
707,的B-BANK 好I-COMMENTS_ADJ
708,好B-COMMENTS_ADJ
709,开B-COMMENTS_ADJ 心I-COMMENTS_ADJ
710,
711,推I-PRODUCT
712,商I-COMMENTS_N 名B-COMMENTS_N
713,提B-COMMENTS_N 示I-COMMENTS_N 浦B-BANK 发I-BANK
714,期I-COMMENTS_N
715,
716,空B-COMMENTS_ADJ 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT
717,好B-COMMENTS_ADJ 说I-COMMENTS_ADJ
718,谢B-COMMENTS_ADJ 招B-BANK 行I-BANK 开B-COMMENTS_ADJ 心I-COMMENTS_ADJ
719,用B-COMMENTS_ADJ 好I-COMMENTS_ADJ
720,额B-COMMENTS_N 度I-COMMENTS_N
721,积B-PRODUCT
722,额B-COMMENTS_N 度I-COMMENTS_N 工B-PRODUCT 资I-PRODUCT 卡I-PRODUCT
723,错I-COMMENTS_ADJ
724,
725,支B-PRODUCT 付I-PRODUCT 分B-PRODUCT 3I-PRODUCT 倍B-COMMENTS_ADJ 积B-PRODUCT 分I-PRODUCT
726,路I-COMMENTS_ADJ
727,
728,宁B-BANK 波I-BANK 积B-PRODUCT 金I-PRODUCT
729,更B-COMMENTS_ADJ
730,
731,拒B-COMMENTS_ADJ 短I-PRODUCT
732,只B-COMMENTS_ADJ 有I-COMMENTS_ADJ 合B-COMMENTS_ADJ 息I-COMMENTS_N 高B-COMMENTS_ADJ
733,招B-BANK 行I-BANK 啥B-PRODUCT 卡I-PRODUCT
734,车B-PRODUCT 主I-PRODUCT 卡I-PRODUCT
735,
736,额B-COMMENTS_N 度I-COMMENTS_N
737,行I-BANK
738,逾B-COMMENTS_N 期I-COMMENTS_N
739,信B-PRODUCT 到B-COMMENTS_ADJ 卡I-PRODUCT
740,信I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N 卡B-PRODUCT 费I-COMMENTS_ADJ 拒B-COMMENTS_ADJ 绝I-COMMENTS_ADJ
741,快I-COMMENTS_ADJ
742,额B-COMMENTS_N 度I-COMMENTS_N
743,
744,愈B-COMMENTS_N 期I-COMMENTS_N
745,
746,
747,额B-COMMENTS_N 度I-COMMENTS_N
748,不B-COMMENTS_ADJ 行I-BANK
749,额B-COMMENTS_N
750,牛B-COMMENTS_ADJ _I-COMMENTS_ADJ
751,公B-PRODUCT 积I-PRODUCT 金I-PRODUCT
752,
753,
754,首B-COMMENTS_N 卡I-COMMENTS_N 销I-COMMENTS_N
755,
756,额B-COMMENTS_N 度I-COMMENTS_N 很B-COMMENTS_ADJ
757,招B-BANK 行I-BANK
758,aB-PRODUCT pI-PRODUCT 服I-COMMENTS_ADJ
759,
760,会B-COMMENTS_N
761,建B-BANK 行I-BANK 准I-PRODUCT
762,额B-COMMENTS_N 度I-COMMENTS_N
763,额B-COMMENTS_N 度I-COMMENTS_N
764,
765,工B-BANK 行I-BANK
766,口B-COMMENTS_N 激B-COMMENTS_N 活I-COMMENTS_N
767,
768,多B-COMMENTS_ADJ
769,气I-COMMENTS_ADJ
770,贷I-PRODUCT 款I-PRODUCT 使B-COMMENTS_ADJ
771,额B-COMMENTS_N 度I-COMMENTS_N
772,
773,
774,额B-COMMENTS_N 度I-COMMENTS_N 不B-COMMENTS_ADJ 低I-COMMENTS_ADJ
775,多B-COMMENTS_ADJ 少I-COMMENTS_ADJ
776,
777,基B-PRODUCT 金I-PRODUCT 类I-PRODUCT 型B-COMMENTS_N 基I-COMMENTS_N 金I-PRODUCT 基B-COMMENTS_N 金I-COMMENTS_N
778,农B-BANK 业I-BANK 银B-PRODUCT 行I-COMMENTS_ADJ
779,额B-COMMENTS_N 度I-COMMENTS_N 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ 意I-COMMENTS_ADJ
780,销B-PRODUCT 卡I-COMMENTS_N
781,逾B-COMMENTS_N 期I-COMMENTS_N 月B-COMMENTS_ADJ 起B-COMMENTS_ADJ
782,礼I-COMMENTS_N
783,
784,
785,凉B-COMMENTS_ADJ
786,
787,人B-PRODUCT 就B-COMMENTS_ADJ 行I-COMMENTS_ADJ
788,正B-COMMENTS_ADJ 固I-COMMENTS_N
789,浦B-BANK 发I-BANK 银I-BANK 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT
790,统B-PRODUCT
791,退B-COMMENTS_N
792,跟B-PRODUCT 二B-COMMENTS_N 提I-COMMENTS_N
793,没B-COMMENTS_ADJ 用I-COMMENTS_ADJ 工B-BANK 行I-BANK 工B-BANK 行I-COMMENTS_ADJ
794,好B-COMMENTS_N 卡I-PRODUCT 额I-COMMENTS_N
795,额B-COMMENTS_N 度I-COMMENTS_N 销B-COMMENTS_N 卡I-COMMENTS_N 销B-PRODUCT 卡I-COMMENTS_N 申B-COMMENTS_N 卡I-COMMENTS_N
796,
797,账B-COMMENTS_N 单I-COMMENTS_N
798,工B-BANK 行I-BANK
799,浦B-BANK 发I-BANK 白I-COMMENTS_ADJ 提B-COMMENTS_N 额I-COMMENTS_N
800,卡I-PRODUCT
801,害I-COMMENTS_N 话B-COMMENTS_ADJ 不I-COMMENTS_ADJ
802,广B-BANK 发I-BANK 从I-PRODUCT 信B-COMMENTS_N 电B-COMMENTS_ADJ
803,好I-COMMENTS_ADJ
804,要I-COMMENTS_ADJ
805,行I-BANK 卡B-COMMENTS_N
806,债I-COMMENTS_ADJ
807,
808,
809,不B-COMMENTS_ADJ 放I-COMMENTS_ADJ
810,额B-COMMENTS_N 度I-COMMENTS_N
811,网B-PRODUCT 贷I-PRODUCT 下B-COMMENTS_N 卡I-COMMENTS_N
812,广B-BANK 闪I-COMMENTS_ADJ 付I-PRODUCT
813,额I-COMMENTS_N 选B-COMMENTS_N 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ
814,提B-COMMENTS_N 额I-COMMENTS_N
815,分B-PRODUCT 期I-PRODUCT 有B-PRODUCT 积B-PRODUCT 分I-PRODUCT 积B-PRODUCT 分I-COMMENTS_ADJ
816,示B-COMMENTS_N 审I-COMMENTS_N 请I-BANK 卡I-PRODUCT 片I-COMMENTS_ADJ
817,心B-COMMENTS_ADJ 累I-COMMENTS_ADJ
818,兴B-BANK 民B-BANK 生I-BANK 金I-PRODUCT 分I-PRODUCT 期I-PRODUCT 征B-PRODUCT 信I-PRODUCT 民B-BANK 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
819,中B-PRODUCT …I-PRODUCT
820,额B-COMMENTS_N 度I-COMMENTS_N 低B-COMMENTS_ADJ
821,
822,
823,
824,公B-PRODUCT 积I-PRODUCT 金I-PRODUCT 多I-BANK 积B-PRODUCT 金I-PRODUCT
825,
826,逾B-COMMENTS_N 期I-COMMENTS_N
827,多I-COMMENTS_ADJ
828,很B-COMMENTS_ADJ 高I-COMMENTS_ADJ
829,积B-PRODUCT
830,工B-COMMENTS_N 审I-COMMENTS_N
831,担B-COMMENTS_ADJ 心I-COMMENTS_ADJ
832,
833,
834,分B-PRODUCT 付B-COMMENTS_N 款I-BANK 现B-COMMENTS_N 金B-PRODUCT 分I-PRODUCT 期I-PRODUCT 额I-COMMENTS_N 很B-COMMENTS_ADJ 大I-COMMENTS_ADJ
835,宁B-BANK 波B-BANK 银I-BANK 行I-BANK 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 公B-PRODUCT 积I-PRODUCT 金I-PRODUCT
836,
837,金B-COMMENTS_N 额I-COMMENTS_N 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ 解I-COMMENTS_ADJ 同B-COMMENTS_ADJ 意I-COMMENTS_ADJ
838,信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 拒B-COMMENTS_ADJ
839,额B-COMMENTS_N 度I-COMMENTS_N 不B-COMMENTS_ADJ 怕I-COMMENTS_ADJ
840,招B-BANK 行I-BANK
841,
842,
843,白B-PRODUCT 金I-PRODUCT 卡I-PRODUCT
844,就I-COMMENTS_ADJ 能B-COMMENTS_N
845,理B-BANK 财I-BANK
846,得B-COMMENTS_N 续I-COMMENTS_ADJ
847,资I-BANK 兴B-COMMENTS_N 业I-COMMENTS_N 审B-COMMENTS_N 核I-COMMENTS_N
848,手B-COMMENTS_ADJ 机I-COMMENTS_ADJ 兴B-BANK 业I-BANK 付B-PRODUCT 宝I-PRODUCT 闪I-PRODUCT
849,符I-COMMENTS_N
850,无B-PRODUCT
851,逾B-COMMENTS_N 期I-COMMENTS_N
852,建B-BANK 设I-BANK 银I-BANK
853,
854,期I-COMMENTS_N 谈I-PRODUCT
855,审B-COMMENTS_ADJ
856,
857,
858,
859,
860,
861,不B-COMMENTS_ADJ
862,标B-BANK 浦B-BANK 发I-BANK 就I-BANK
863,
864,访I-COMMENTS_ADJ
865,储B-BANK 银I-BANK aB-PRODUCT pI-PRODUCT 示B-COMMENTS_N 大I-COMMENTS_N 白I-PRODUCT 雅I-COMMENTS_ADJ 示B-PRODUCT 啥I-PRODUCT
866,白B-PRODUCT 金I-PRODUCT 卡I-PRODUCT
867,机B-COMMENTS_ADJ ：B-COMMENTS_N 基B-COMMENTS_N 金I-PRODUCT
868,下B-COMMENTS_N 卡I-COMMENTS_N
869,兴B-BANK 业I-PRODUCT 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ
870,很I-PRODUCT 多I-COMMENTS_ADJ
871,
872,息B-PRODUCT ~I-COMMENTS_ADJ
873,出I-PRODUCT 卡I-PRODUCT
874,9B-COMMENTS_ADJ
875,介I-PRODUCT
876,套I-PRODUCT 光B-PRODUCT 积B-PRODUCT 分I-COMMENTS_ADJ
877,用B-BANK 大I-BANK 的I-PRODUCT 卡I-PRODUCT 以B-COMMENTS_N 卡I-PRODUCT 办I-PRODUCT 卡I-PRODUCT
878,记B-PRODUCT
879,储B-PRODUCT 蓄I-PRODUCT 卡I-PRODUCT 行I-BANK 卡I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N 行I-BANK
880,信B-PRODUCT 用I-PRODUCT
881,卡I-PRODUCT
882,监I-COMMENTS_ADJ 要I-COMMENTS_ADJ 贷I-PRODUCT 人I-COMMENTS_N
883,
884,卡I-COMMENTS_N 绑B-COMMENTS_ADJ 定I-COMMENTS_ADJ 微I-PRODUCT 信I-PRODUCT
885,
886,好B-PRODUCT 车I-PRODUCT 主I-PRODUCT 卡I-PRODUCT 车B-PRODUCT 主I-PRODUCT 卡I-PRODUCT 好B-COMMENTS_ADJ 车I-COMMENTS_ADJ
887,贷B-BANK 行I-COMMENTS_N 下B-COMMENTS_N 卡I-PRODUCT
888,被B-COMMENTS_N
889,分I-PRODUCT 不B-COMMENTS_ADJ
890,公B-PRODUCT 积I-PRODUCT 金I-PRODUCT 子I-COMMENTS_ADJ 积B-PRODUCT 金I-PRODUCT
891,招B-BANK 行I-BANK 废B-COMMENTS_ADJ 弃I-COMMENTS_ADJ
892,重B-COMMENTS_ADJ 担B-COMMENTS_ADJ 心I-COMMENTS_ADJ
893,张B-COMMENTS_N 卡I-COMMENTS_N 度I-COMMENTS_N
894,激B-COMMENTS_N 活I-COMMENTS_N 车B-PRODUCT 主I-PRODUCT 卡I-PRODUCT
895,额B-COMMENTS_N 度I-PRODUCT
